text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
,1588632495,addisonre,1923824810,886,Mrs Savage,sunrae_music,11,3077829,8494,12345313,56350,[],[],2020-05-05,25.45640600606886,1
THANK YALL FOR 38 MILLION!!! I LOVE YOU ALL,1588631336,addisonre,1923824810,886,Soda Drama,ss43737849657,15,1915292,2575,8423167,23116,[],[],2020-05-05,23.04338736249679,1
,1588625018,addisonre,1923824810,886,original sound,ibuyhorse2.0,9,2348335,6881,10086419,36554,[],[],2020-05-05,23.712776556278296,1
@livinthelopezlife,1588624750,addisonre,1923824810,886,original sound,fire.soundz0,8,2296794,7010,12037473,27129,"[""@livinthelopezlife""]",[],2020-05-05,19.363972820541324,1
,1588558064,addisonre,1923824810,886,original sound,addisonre,36,2739248,4600,11274832,45643,[],[],2020-05-04,24.740865318436676,1
,1588553632,addisonre,1923824810,886,original sound,m_3dits,11,3837566,15689,20792773,62379,[],[],2020-05-04,18.83170657420249,1
@itsjennaraine,1588550583,addisonre,1923824810,886,Disney Channel Theme Song Mashup,itsjennaraine,20,2709794,6286,12379789,37184,"[""@itsjennaraine""]",[],2020-05-04,22.2399913278005,1
dc @cassidycondiee,1588547962,addisonre,1923824810,886,original sound,cassidycondiee,29,1237785,13586,7142068,20547,"[""@cassidycondiee""]",[],2020-05-04,17.80881951838039,1
@calegoes,1588547690,addisonre,1923824810,886,ROCKSTAR DABABY FT RODDY RICH,calegoes,15,2199658,25706,13204116,31927,"[""@calegoes""]",[],2020-05-04,17.09535875025636,1
@calegoes,1588534266,addisonre,1923824810,886,ROCKSTAR DABABY FT RODDY RICH,calegoes,15,1493908,10541,8464840,36720,"[""@calegoes""]",[],2020-05-04,18.20671152673884,1
,1588457598,addisonre,1923824810,886,original sound,addisonre,59,1363668,85785,7617317,30360,[],[],2020-05-03,19.4269583371678,1
Join me in the #ownthecurve challenge and show us how you’re taking care of yourself and don’t forget to use #ownthecurve #sponsored #kaiserpermanente,1588445037,addisonre,1923824810,886,I Gotta Feeling,Tik Tok Assistant,17,3411234,4914,18068102,108474,[],"[{""id"":""1664147404327941"",""name"":""OwnTheCurve"",""title"":""You can #ownthecurve for the people you love and care about just by staying home, washing hands, and practicing social distancing. But don't stop there, you can dance or sing or do something creative. It's up to you. Just show us your best moves and don't forget to use #ownthecurve. "",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/202004169cc67b55bb536b874527a13e""]},{""id"":""313853"",""name"":""sponsored"",""title"":"""",""cover"":[]},{""id"":""57671911"",""name"":""kaiserpermanente"",""title"":"""",""cover"":[]}]",2020-05-03,19.507428063002966,1
@calegoes,1588444614,addisonre,1923824810,886,ROCKSTAR DABABY FT RODDY RICH,calegoes,15,2096554,21302,14751299,30402,"[""@calegoes""]",[],2020-05-03,14.563178469909666,1
,1588443911,addisonre,1923824810,886,original sound,addisonre,59,4523459,10855,18878061,49043,[],[],2020-05-03,24.27874875497012,1
link in bio for merch :) @livinthelopezlife,1588368462,addisonre,1923824810,886,original sound,notjccaylen,59,3638577,7793,21044327,32583,"[""@livinthelopezlife""]",[],2020-05-02,17.48192280038226,1
@sherinicolee,1588367786,addisonre,1923824810,886,For all my short ladies,haleynicoleschalmo,13,2952724,7392,13461265,31204,"[""@sherinicolee""]",[],2020-05-02,22.22168570338672,1
LINK IN BIO FOR MERCH! SHIPS INTERNATIONALLY 💘💘💘💘🥺🥺🥺🥺,1588367198,addisonre,1923824810,886,SUGAR,BROCKHAMPTON,10,2401471,18201,13372400,46358,[],[],2020-05-02,18.441192306541833,1
draft but i love y’all and MY MERCH IS OUT!!! yayyyyyy,1588366858,addisonre,1923824810,886,original sound,liv_young_,11,3205072,8179,15892506,43296,[],[],2020-05-02,20.49108554686089,1
nervous posting this because so many people make fun of my lip syncing videos,1588298839,addisonre,1923824810,886,Yellow Hearts,Ant Saunders,15,3182848,11101,15421231,88178,[],[],2020-05-01,21.283171233217374,1
