text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
@k0uvr sets off the fire alarm😂 Full video link in bioooo:),1588459925,alexwaarren,431061399,1440,original sound,alexwaarren,24,2539833,8008,7212298,9180,"[""@k0uvr""]",[],2020-05-03,35.45362379646543,1
calvin and patrick turn into super heroes😂 Full video link in bioooo:),1588459367,alexwaarren,431061399,1440,original sound,alexwaarren,18,1071255,2627,3689208,4030,[],[],2020-05-03,29.21797849294483,1
science experiments😂 Full video link in bioooo:),1588459080,alexwaarren,431061399,1440,original sound,alexwaarren,20,1382256,1366,4583259,4961,[],[],2020-05-03,30.296847723421262,1
@k0uvr does my eyelashes,1588415206,alexwaarren,431061399,1440,original sound,alexwaarren,20,1685202,3191,5258452,8067,"[""@k0uvr""]",[],2020-05-02,32.26158572903204,1
Kouvr learns self-defense😂 @bangenergy  @bangenergy.ceo #bangenergy,1588105049,alexwaarren,431061399,1440,original sound,alexwaarren,19,2015986,2494,6590387,7614,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-29,30.74317183497722,1
i try to pronounce @k0uvr middle name🥺 Can you spell it?,1588067852,alexwaarren,431061399,1440,original sound,alexwaarren,30,2842498,8028,9311930,20674,"[""@k0uvr""]",[],2020-04-28,30.833565114858036,1
SCARED MY GIRLFRIEND🥺😂 Full video link in bioooo😂,1587853749,alexwaarren,431061399,1440,original sound,alexwaarren,27,2896150,16289,10252700,28613,[],[],2020-04-26,28.685634028109668,1
@k0uvr won’t leave without kisses😂 #itsmeapp,1587778410,alexwaarren,431061399,1440,original sound,alexwaarren,40,2228782,9206,7992620,7658,"[""@k0uvr""]","[{""id"":""1660823103819782"",""name"":""itsmeapp"",""title"":"""",""cover"":[]}]",2020-04-25,28.09649401572951,1
Your first move has to be there last move😂 @bangenergy @bangenergy.ceo #bangenergy,1587592597,alexwaarren,431061399,1440,Your First Move Is Their Last Move,maddiefckinsmokez,15,1023191,1607,4814867,5235,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-23,21.392761212303476,1
@k0uvr gets new pets,1587511234,alexwaarren,431061399,1440,original sound,alexwaarren,31,3296063,17472,11034432,12742,"[""@k0uvr""]",[],2020-04-22,30.144523977310296,1
#greenscreen,1587423213,alexwaarren,431061399,1440,Bae (Remix),"O.T. Genasis feat. G-Eazy, Rich The Kid & E 40",11,1735263,2312,7994477,11335,[],"[{""id"":""801886"",""name"":""greenscreen"",""title"":""Try out our new #GreenScreen Creative Effect! Just pick an image from your camera roll, stand in front of a plain background, and make the next TikTok masterpiece."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/0eed42cd4bfb738d46d0caefa162a585""]}]",2020-04-21,21.87647797348094,1
I don’t even know😂 Full video link in biooooo:),1587241332,alexwaarren,431061399,1440,original sound,alexwaarren,20,1614803,5523,7139407,5519,[],[],2020-04-19,22.772829732217257,1
Friends react to ice bath😂 Full video link in bioooo:),1587240137,alexwaarren,431061399,1440,original sound,alexwaarren,23,1638636,6265,6882049,6749,[],[],2020-04-19,23.999393203971668,1
Savannah Cat by day SpiderMan by night 😂,1587234422,alexwaarren,431061399,1440,original sound,alexwaarren,10,2500435,19768,9362428,16975,[],[],2020-04-19,27.09957288857121,1
@k0uvr favorite song lately lol,1587172313,alexwaarren,431061399,1440,Gimme Love,Joji,12,1010109,2585,5210807,4604,"[""@k0uvr""]",[],2020-04-18,19.522849339843138,1
Kouvr and I do face masks at 4AM @bangenergy @bangenergy.ceo #bangenergy,1587158967,alexwaarren,431061399,1440,original sound,alexwaarren,28,3494206,20832,13853890,15401,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-18,25.483376871044882,1
how @k0uvr and i are spending our quarantine,1586941210,alexwaarren,431061399,1440,original sound,alexwaarren,33,2488341,11937,8625719,9877,"[""@k0uvr""]",[],2020-04-15,29.10082046493747,1
Kouvr photo bombed my happy feet😂 @bangenergy @bangenergy.ceo #bangenergy,1586574107,alexwaarren,431061399,1440,#versimini,ceo.of.america,15,1902668,7062,9894108,11014,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-11,19.413008226714325,1
@lilhuddy is blind now,1586566532,alexwaarren,431061399,1440,Jackson Wang 100 WAYS,k0uvr,10,1122427,3186,6510222,6467,"[""@lilhuddy""]",[],2020-04-11,17.389268753047133,1
is this relatable content?😂 @bangenergy  @bangenergy.ceo #bangenergy,1586553588,alexwaarren,431061399,1440,original sound,alexwaarren,36,2732159,20983,11327444,10912,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-11,24.401391876225563,1
