text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
hi,1588631675,avani,1111964148,4435,original sound,heyyalyssa,15,1167526,2874,3257280,14155,[],[],2020-05-05,36.36638545043717,1
thank you to the ones who show me love you guys keep me sane <3,1588614712,avani,1111964148,4435,REDBONE ViBeZ,kayloniiwood,18,511525,1646,1649061,8989,[],[],2020-05-05,31.664080346330426,1
she won’t let me play on MY xbox,1588572699,avani,1111964148,4435,original sound,gavry3,7,812840,798,2705668,5918,[],[],2020-05-04,30.290338652044525,1
winning tiktoker of the year has motivated me and is keeping me happy at the moment. thank you all i love you guys for making this happen🥺,1588555855,avani,1111964148,4435,SUGAR,BROCKHAMPTON,15,953994,2255,3069218,13254,[],[],2020-05-04,31.58794846113896,1
and that on y’all voting for me to win tik toker of the year🥺 couldn’t have done it without you. THANK YOU ALL 🤍🤍🤍🤍,1588552359,avani,1111964148,4435,original sound,saucyravioli,12,922621,2519,3141807,10007,[],[],2020-05-04,29.764622715526446,1
dressed up for what 🤔,1588542900,avani,1111964148,4435,Swish Mike Stud,breexox.edits,9,957008,1640,3368027,8948,[],[],2020-05-04,28.728867078559645,1
"special day today 🥺 stream the shorty awards 7pm est time on youtube, twitter or their website. :)",1588528405,avani,1111964148,4435,original sound,andrqws,14,1357984,1786,4607274,11265,[],[],2020-05-04,29.758052158391273,1
#duet with @priya.gregg I CANT STOP LAUGHING WHY MY SISTER FUNNY LMAOOO,1588471528,avani,1111964148,4435,original sound,r.robinn,13,972640,474,4110961,4747,"[""@priya""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]",2020-05-03,23.786676643247162,1
:/,1588453042,avani,1111964148,4435,Cologne by Alec Wigdahl,abibxbz,8,841722,1082,3229865,7622,[],[],2020-05-03,26.330078811343512,1
I FORGOT WE MADE THIS @k0uvr (a draft),1588452988,avani,1111964148,4435,2liveSoundsmix,2live.d,15,2317243,4240,8342396,10221,"[""@k0uvr""]",[],2020-05-03,27.95005175971028,1
there’s a reason behind all the makeup looks and they play along with the audio (flash warning),1588452883,avani,1111964148,4435,"GONE, GONE / THANK YOU","Tyler, The Creator",15,696197,1677,2637003,5474,[],[],2020-05-03,26.672248761188367,1
ok i forgot the dance but i’m too lazy to redo it so here,1588379479,avani,1111964148,4435,Hot Girl,Megan Thee Stallion,15,1283613,6177,5282570,9322,[],[],2020-05-02,24.59242376343333,1
watch my pores disappear 💫  #elfvanishingact #elfambassador @elfyeah #ad,1588379208,avani,1111964148,4435,Vanishing Act e.l.f. Poreless Putty Primer,elfyeah,15,1371604,2084,4996653,6403,"[""@elfyeah""]","[{""id"":""1665338974491654"",""name"":""elfvanishingact"",""title"":"""",""cover"":[]},{""id"":""1611918846867462"",""name"":""elfambassador"",""title"":"""",""cover"":[]},{""id"":""20898"",""name"":""ad"",""title"":"""",""cover"":[]}]",2020-05-02,27.62030903486794,1
✌🏼,1588373450,avani,1111964148,4435,F your opinion,sounds_xxx_uwu,9,2800321,9697,9799442,17167,[],[],2020-05-02,28.850469241003722,1
i miss these bebs @madi @charlidamelio @ameliezilber,1588356928,avani,1111964148,4435,original sound,sassybeats,12,1496043,3620,5858885,11345,"[""@madi"",""@charlidamelio"",""@ameliezilber""]",[],2020-05-02,25.790026600624522,1
avani,1588356422,avani,1111964148,4435,If U Seek Amy,rapidsongs,15,543631,1981,2455821,5813,[],[],2020-05-02,22.453794474434417,1
