tiktok_id,username,followers,following,likes,videos,average_engagement_rate,is_generated,date,
"79609045006872576","avani","15898211","4198","913812599","4344","8.2","0","2020-04-07+07:35:00",
"79609045006872576","avani","15816850","4198","906668366","4338","8","1","2020-04-06+15:19:00",
"79609045006872576","avani","15735489","4198","899524133","4332","9.56","0","2020-04-05+15:19:00",
"79609045006872576","avani","15609874","4197","888957611","4327","8.85","0","2020-04-04+07:19:00",
"79609045006872576","avani","15514728","4200","880661828","4324","8.23","0","2020-04-03+07:19:00",
"79609045006872576","avani","15406460","4199","870798477","4319","9.13","0","2020-04-02+07:19:00",
"79609045006872576","avani","15305906","4198","862968493","4315","9.22","0","2020-04-01+07:19:00",
"79609045006872576","avani","15169865","4197","855059911","4310","8","1","2020-03-31+05:40:00",
"79609045006872576","avani","15033824","4197","847151329","4306","8","1","2020-03-30+05:40:00",
"79609045006872576","avani","14897783","4197","839242747","4302","8","1","2020-03-29+05:40:00",
"79609045006872576","avani","14761742","4197","831334165","4298","8","1","2020-03-28+05:40:00",
"79609045006872576","avani","14625702","4197","823425584","4294","7.8","0","2020-03-27+05:40:00",
"79609045006872576","avani","14514490","4194","816839523","4289","8","1","2020-03-26+16:23:00",
"79609045006872576","avani","14403278","4192","810253462","4285","8","1","2020-03-25+16:23:00",
"79609045006872576","avani","14292067","4189","803667402","4280","8","1","2020-03-24+16:23:00",
"79609045006872576","avani","14180855","4187","797081341","4276","8","1","2020-03-23+16:23:00",
"79609045006872576","avani","14069644","4185","790495281","4272","9.18","0","2020-03-22+16:23:00",
"79609045006872576","avani","13957767","4182","783356412","4268","10","1","2020-03-21+22:13:00",
"79609045006872576","avani","13845890","4180","776217544","4265","11","1","2020-03-20+22:13:00",
"79609045006872576","avani","13734013","4177","769078676","4262","12","1","2020-03-19+22:13:00",
"79609045006872576","avani","13622136","4175","761939808","4259","13.76","0","2020-03-18+22:13:00",
"79609045006872576","avani","13504029","4170","754522883","4255","13","1","2020-03-17+15:06:01",
"79609045006872576","avani","13385923","4165","747105958","4252","13","1","2020-03-16+15:06:01",
"79609045006872576","avani","13267817","4160","739689033","4249","13","1","2020-03-15+15:06:01",
"79609045006872576","avani","13149710","4155","732272108","4245","13","1","2020-03-14+15:06:01",
