text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
,1588686884,charlidamelio,3592604818,1267,original sound,numb.tunes,11,1732533,5621,5605469,89553,[],[],2020-05-05,32.605781960438996,1
,1588615401,charlidamelio,3592604818,1267,original sound,vibez.thomas,12,2710482,16645,12256389,78865,[],[],2020-05-04,22.8941166929346,1
awkward...,1588611220,charlidamelio,3592604818,1267,original sound,jjwaddy,6,5143472,12937,21734652,102543,[],[],2020-05-04,24.196163803312793,1
@zach..vance,1588610506,charlidamelio,3592604818,1267,after party girl,koofwip,11,3063810,17544,15291932,60996,"[""@zach""]",[],2020-05-04,20.549071235733983,1
dc @tsompathegoat @keke.janajah,1588556138,charlidamelio,3592604818,1267,Savage Remix Tsompathegoat Dance,tsompathegoat,29,2296035,17194,12062681,50441,"[""@tsompathegoat"",""@keke""]",[],2020-05-03,19.59489768485132,1
@heididamelio,1588535530,charlidamelio,3592604818,1267,original sound,vibez.thomas,13,4077187,17989,20380276,64249,"[""@heididamelio""]",[],2020-05-03,20.409071005711603,1
,1588534646,charlidamelio,3592604818,1267,MOSHPIT,Baby Keem,13,3469610,11260,16396644,53198,[],[],2020-05-03,21.55360572565947,1
please let me know who made this because i love it!!,1588455399,charlidamelio,3592604818,1267,original sound,m_3dits,11,5891884,39885,34163852,117862,[],[],2020-05-02,17.707695841792077,1
dc @zach..vance,1588347930,charlidamelio,3592604818,1267,after party girl,koofwip,11,5559947,72892,38577193,328618,"[""@zach""]",[],2020-05-01,15.453319789234016,1
the only appropriate song for today 💕,1588342075,charlidamelio,3592604818,1267,sixteen by ayesha erotica,biblegrrl,10,8925145,39549,48098581,418669,[],[],2020-05-01,19.508606709208323,1
THANK YOU GUYS SO MUCH FOR 52 MILLION!! @mimiwebb_,1588273117,charlidamelio,3592604818,1267,Before I Go,Mimi Webb,15,6434516,26364,35331690,255904,"[""@mimiwebb_""]",[],2020-04-30,19.01065021231648,1
be kind! @marshmellomusic  @halsey  #bekindxx 💕out tonight !,1588272389,charlidamelio,3592604818,1267,Be Kind,"Marshmello, Halsey",15,3400274,14080,21512266,54043,"[""@marshmellomusic"",""@halsey""]","[{""id"":""1665424300307462"",""name"":""bekindxx"",""title"":"""",""cover"":[]}]",2020-04-30,16.122880778807776,1
join me on may 1st and #answerthecall on @thecalltounite  - streaming everywhere for 24 hours starting at 8p ET,1588186305,charlidamelio,3592604818,1267,original sound,charlidamelio,59,3620322,10987,24504310,114299,"[""@thecalltounite""]","[{""id"":""893159"",""name"":""answerthecall"",""title"":"""",""cover"":[]}]",2020-04-29,15.285506916946447,1
THANK YOU GUYS SO SO SO MUCH FOR 51 MILLION!!! 💕💕,1588011024,charlidamelio,3592604818,1267,original sound,favsoundds,14,8279518,55571,46250573,201282,[],[],2020-04-27,18.45678971371879,1
