text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
new youtube video up!!! link in bio 🖤,1588531284,dixiedamelio,548021482,183,original sound,dixiedamelio,59,1876100,4370,6741192,20787,[],[],2020-05-03,28.2035728992736,1
my nightly routine using @clear.start  flashfoliant so I can go to bed and wake up with glowy skin 🧡 #LetMeBeClear #ClearStartPartner #ad”,1588361428,dixiedamelio,548021482,183,original sound,dixiedamelio,42,3218325,2954,11870338,27670,"[""@clear""]","[{""id"":""7515963"",""name"":""letmebeclear"",""title"":"""",""cover"":[]},{""id"":""1651134228717574"",""name"":""clearstartpartner"",""title"":"""",""cover"":[]},{""id"":""20898"",""name"":""ad"",""title"":"""",""cover"":[]}]",2020-05-01,27.370315824199782,1
i’m so thankful to have you as my sister and my best friend. happy birthday @charlidamelio 🖤,1588318790,dixiedamelio,548021482,183,timmy trend,sandy.0234,21,4560555,18638,16793976,71177,"[""@charlidamelio""]",[],2020-05-01,27.690702904422395,1
goodnight,1588226772,dixiedamelio,548021482,183,I Like Him,Princess Nokia,15,3025246,11118,14491015,31445,[],[],2020-04-29,21.170421809652396,1
im back lol,1588225217,dixiedamelio,548021482,183,aesthetic vibes,girly.aesthetics.daily,10,4292719,7623,22511391,31314,[],"[{""id"":""34841314"",""name"":""simetria"",""title"":""E aí, já testou esse efeito simétrico? Mostre a sua nova face com a batida da música 😜"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/e008496a114c547aabd5957f7743e246""]}]",2020-04-29,19.242062829435998,1
this was so hard and i never got the whole thing,1587857819,dixiedamelio,548021482,183,Big Mouth,t0nyyyyyy,15,4252346,10688,19035067,34186,[],[],2020-04-25,22.575281715583138,1
@bazziofficial,1587768503,dixiedamelio,548021482,183,original sound,bazziofficial,15,5015174,28402,22424716,66164,"[""@bazziofficial""]",[],2020-04-24,22.786197158528118,1
memories 🖤 @natalietaylormusic,1587417609,dixiedamelio,548021482,183,Surrender,Natalie Taylor,39,3796676,22121,17643462,39713,"[""@natalietaylormusic""]",[],2020-04-20,21.869347410389185,1
only way we can make tiktoks together @ktifford,1587254785,dixiedamelio,548021482,183,Laxed Siren Beat Loop,Jawsh 685,15,3007858,6097,19534012,16498,"[""@ktifford""]","[{""id"":""12042"",""name"":""happydance"",""title"":""Let's get into the #happyDance mode and enjoy this trend! 💃"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/34d4a0065dd1df11ce29aceb2bf2b0a5""]}]",2020-04-18,15.513725495817244,1
momma 🖤 @heididamelio,1587077862,dixiedamelio,548021482,183,JOEMAMA,joewaud,6,3781547,10216,19451165,27739,"[""@heididamelio""]",[],2020-04-16,19.63636625364085,1
