text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
How’d we do?😝 @jameswrightt,1588641728,jack.wright,53058638,162,Up & Down,Vengaboys,15,111848,475,370566,942,"[""@jameswrightt""]",[],2020-05-05,30.5654053528926,1
This video is chaos,1588640162,jack.wright,53058638,162,original sound,fire.soundz0,8,73640,67,245893,838,[],[],2020-05-05,30.316031769916187,1
the baby knows what’s up #duet with @babygirlcorinne,1588556485,jack.wright,53058638,162,original sound,babygirlcorinne,4,326882,255,970897,1060,"[""@babygirlcorinne""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]",2020-05-04,33.803482758727235,1
i gagged at the end,1588461571,jack.wright,53058638,162,original sound,notmeebruh,10,145863,293,537220,1076,[],[],2020-05-03,27.406276758125163,1
this sound makes this dance 10x better @madi,1588460154,jack.wright,53058638,162,original sound,tobeepaik,11,144793,234,537674,1008,"[""@madi""]",[],2020-05-03,27.16050990005096,1
jack without a shirt as usual,1588459399,jack.wright,53058638,162,original sound,m_3dits,11,121451,248,475000,883,[],[],2020-05-03,25.806736842105266,1
draft for charli’s birthday. WAIT FOR THE END❤️🤪 @charlidamelio @jameswrightt,1588383584,jack.wright,53058638,162,TOES,DaBaby,15,923923,1564,3104825,2593,"[""@charlidamelio"",""@jameswrightt""]",[],2020-05-02,29.891539780825006,1
HAPPY BIRTHDAY CHARBURGER from the wright twins❤️ #duet with @charlidamelio @jameswrightt,1588380342,jack.wright,53058638,162,after party girl,koofwip,11,513061,554,2017665,1995,"[""@charlidamelio"",""@jameswrightt""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]",2020-05-02,25.554787340812275,1
i think i broke my back at the end🥴,1588354346,jack.wright,53058638,162,original sound,woah.carlos,10,113176,297,442240,1185,[],[],2020-05-02,25.92664616497829,1
sunrise vibe after an all nighter🤪 also trynna match @hollykenyon5 ‘s mom’s energy,1588348818,jack.wright,53058638,162,all jokes,aesthetic.aud1os,15,87027,275,359475,1346,"[""@hollykenyon5""]","[{""id"":""137490"",""name"":""vibewithme"",""title"":""Catch these vibes and #VibeWithMe."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/e48c63cceb1eabf31f2a01f4cd386cc6""]}]",2020-05-02,24.66040753877182,1
HOLD UPPPPPP @jameswrightt,1588041008,jack.wright,53058638,162,Kat Pacher x African Honey Mashup DJ Yames,dj_yames,15,231555,1077,831594,1882,"[""@jameswrightt""]",[],2020-04-28,28.200540167437477,1
