text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
modern day love story @jack.wright,1588640050,jameswrightt,19040642,86,original sound,jameswrightt,11,146015,307,403291,985,"[""@jack""]",[],2020-05-04,36.526230439062616,1
i made another COOKING WITH JAMES!!!! (applesauce cake🍎😌),1588551484,jameswrightt,19040642,86,original sound,jameswrightt,49,136748,650,371631,2177,[],[],2020-05-03,37.557415823760664,1
just some photoshoot things🤧 @jack.wright,1588378403,jameswrightt,19040642,86,original sound,m_3dits,11,137094,494,614263,826,"[""@jack""]",[],2020-05-01,22.533344837634694,1
just a few throwbacks😳😳 @jack.wright,1588265603,jameswrightt,19040642,86,original sound,jaydenbartels,10,101576,196,405757,658,"[""@jack""]",[],2020-04-30,25.244173236690926,1
y’all can’t say i’m lying😳😌 @bangenergy @bangenergy.ceo #bangenergy,1588196169,jameswrightt,19040642,86,I Like Him,Princess Nokia,15,63098,297,279751,1276,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-29,23.117343637734987,1
I MADE ANOTHER COOKING VIDEO I COULDN’T CONTAIN MYSELF 🍽@jack.wright,1588037954,jameswrightt,19040642,86,original sound,jameswrightt,53,161760,892,495479,1622,"[""@jack""]",[],2020-04-27,33.15458374623344,1
MAKING PANCAKE CEREAL🥞 @jack.wright,1587944124,jameswrightt,19040642,86,original sound,jameswrightt,51,278221,1965,925509,1848,"[""@jack""]",[],2020-04-26,30.473393559652038,1
i’m sorry for a wearing another muscle T it was hot @jack.wright,1587842232,jameswrightt,19040642,86,Party Girl,StaySolidRocky,8,134860,737,530817,1021,"[""@jack""]",[],2020-04-25,25.737306830791024,1
just cuz this song is so HYPE @jack.wright,1587680457,jameswrightt,19040642,86,original sound,audio_bbys,10,239564,1249,998794,1103,"[""@jack""]",[],2020-04-23,24.220810297218446,1
doing it again just b/c we love avani’s dance moves @avani @jack.wright,1587520273,jameswrightt,19040642,86,My Love,"Jack Gilinsky, Don Toliver",15,77132,233,430672,513,"[""@avani"",""@jack""]",[],2020-04-21,18.08290299810529,1
didn’t mean to start anything😳 (dc: @ondreazlopez),1587493119,jameswrightt,19040642,86,Lpb Poody - Address It,bebesita.vina,15,196971,642,996533,2210,"[""@ondreazlopez""]",[],2020-04-21,20.051819658756912,1
srry there was paint on my hands but here’s RIVER by bishop briggs #singing,1587400519,jameswrightt,19040642,86,original sound,jameswrightt,19,108948,1062,454583,2645,[],"[{""id"":""8247"",""name"":""singing"",""title"":""If you or someone you know wants to show off your singing talent, do it here. Now is the time to upload your video, show off your skills ... and maybe even get discovered."",""cover"":[]}]",2020-04-20,24.782053002422,1
i don’t know why this was SO FUN to make (GO DO IT AND TAG US) @jack.wright,1587235138,jameswrightt,19040642,86,Do Si Do,Diplo & Blanco Brown,15,177666,1512,970498,1030,"[""@jack""]",[],2020-04-18,18.568611166638156,1
had to pop out the HAWAIIAN SHIRT for this vid (dc: @avani),1587163241,jameswrightt,19040642,86,My Love,"Jack Gilinsky, Don Toliver",15,77665,184,484177,614,"[""@avani""]",[],2020-04-17,16.20543726777604,1
it would’ve been better if JACK DIDN’T MEES UP AT THE END @jack.wright,1586998847,jameswrightt,19040642,86,After Party,Don Toliver,14,162133,1253,864298,805,"[""@jack""]",[],2020-04-15,18.99703574461586,1
just a lil’ “MLA FORMAT”😍😍 @jack.wright,1586913646,jameswrightt,19040642,86,Say So x Like That x Do It Again,goalsounds,13,166604,1150,647628,783,"[""@jack""]",[],2020-04-14,26.023735848357386,1
my older brother won #family,1586559029,jameswrightt,19040642,86,Rhythm thief but cursed,.hacky,15,245228,1452,1165701,861,[],"[{""id"":""5163"",""name"":""family"",""title"":"""",""cover"":[]},{""id"":""47281836"",""name"":""cursedimages"",""title"":""Show us those #CursedImages."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/03b1330f43bbe42ed822d607f0326c61""]}]",2020-04-10,21.23537682476038,1
THANKS MOM❤️ @jack.wright,1586296301,jameswrightt,19040642,86,Sibling tag,vovotavares,22,266033,673,1482393,807,"[""@jack""]",[],2020-04-07,18.046024232440384,1
