text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
,1588459956,larrayeeee,221240924,514,original sound,larrayeeee,8,1204488,39900,3208454,23224,[],[],2020-05-03,39.50849848556345,1
throwback to when my friend thought it would be funny to push me into a mosh put,1588308873,larrayeeee,221240924,514,original sound,larrayeeee,4,1373135,5512,3612549,9664,[],[],2020-05-01,38.43023305704642,1
so i play roblox again and yall... IM SCARED,1588286528,larrayeeee,221240924,514,original sound,larrayeeee,59,488079,3644,1491900,12657,[],[],2020-05-01,33.80789597157987,1
😳 oop,1588112662,larrayeeee,221240924,514,original sound,larrayeeee,18,1277577,11778,3341891,41717,[],[],2020-04-29,39.8299046857004,1
we tryna battle we’re bored @twaimz @skaibeauty,1587680867,larrayeeee,221240924,514,Flo Milli In The Party x SKAI BEAUTY,skaibeauty,23,934151,9176,3725314,16585,"[""@twaimz"",""@skaibeauty""]",[],2020-04-24,25.767277603981835,1
Yall ever just,1587325002,larrayeeee,221240924,514,Rhythm thief but cursed,.hacky,15,1164639,3006,4064860,11272,[],[],2020-04-20,29.00264707763613,1
I ain’t playin 😤,1587081621,larrayeeee,221240924,514,Original Sound,Unknown,15,1595493,19157,5730784,40057,[],[],2020-04-17,28.874007465645192,1
@jamescharles I’m scared of you,1586907172,larrayeeee,221240924,514,original sound,larrayeeee,34,2542881,51212,7861277,50401,"[""@jamescharles""]",[],2020-04-15,33.639496483840986,1
#duet with @kopykalii can u please send me this!!!,1586825231,larrayeeee,221240924,514,Latina,Larray,20,2638830,12204,9814523,10483,"[""@kopykalii""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]",2020-04-14,27.1181492977295,1
new youtube video with my boyfriend 😎 i met his ex girlfriend... oop,1586808214,larrayeeee,221240924,514,Savage,Megan Thee Stallion,15,1637554,14614,6539310,16849,[],[],2020-04-14,25.522830390362284,1
@twaimz,1586030688,larrayeeee,221240924,514,original sound,larrayeeee,20,1694680,23163,6762538,18849,"[""@twaimz""]",[],2020-04-05,25.681068261649692,1
i hate him so much,1585705901,larrayeeee,221240924,514,original sound,larrayeeee,20,1737471,20395,6567373,19935,[],[],2020-04-01,27.070199910984194,1
guess who just uploaded a new youtube video 😎,1585517526,larrayeeee,221240924,514,original sound,larrayeeee,59,2126111,39713,7044016,13317,[],[],2020-03-30,30.93605977044913,1
YALLLLLLLL WAIT MAYBE I SNAPPED,1585438761,larrayeeee,221240924,514,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",14,2362248,27586,12788958,18935,[],[],2020-03-29,18.834755732249647,1
HAHAHHAHAHA,1585178856,larrayeeee,221240924,514,original sound,larrayeeee,40,1534009,18606,5085524,11229,[],[],2020-03-26,30.75089214012165,1
I MISSED YALL,1584926204,larrayeeee,221240924,514,Savage,Megan Thee Stallion,15,1133597,9512,5446346,15588,[],[],2020-03-23,21.274759260612527,1
I have to tell y’all something 🥺,1584408047,larrayeeee,221240927,514,original sound,larrayeeee,15,1253432,6794,4993643,30621,[],[],2020-03-17,25.849805442639774,1
16 year old me was going through it,1584327359,larrayeeee,221240927,514,original sound,larrayeeee,5,2170420,116153,7252025,30766,[],[],2020-03-16,31.954371365239364,1
@addisonre,1584213960,larrayeeee,221240927,514,Addison Rae,The Kid LAROI,10,1535129,5414,8653025,9057,"[""@addisonre""]",[],2020-03-15,17.908188176967013,1
,1584051215,larrayeeee,221240927,514,Skinny Legend Anthem,Ava Louise featuring Big Dick Chima,15,1641358,25319,9122733,11111,[],[],2020-03-13,18.39128690930667,1
wait.. did I snap 😳,1583698554,larrayeeee,221240927,514,Different Varieties,KINGMOSTWANTED,15,1174744,8900,5767404,8619,[],[],2020-03-09,20.672437720679877,1
WHO SEEN THE THANOS MUSIC VIDEO 😎,1583626505,larrayeeee,221240927,514,original sound,larrayeeee,17,1345580,13570,6793774,19766,[],[],2020-03-08,20.296759945208656,1
,1583274382,larrayeeee,221240927,514,#hiteverybeat,lulbabyynelii,9,1470580,7068,7498343,6789,[],[],2020-03-04,19.79686712117597,1
thank u for 7m :) @addisonre  @jamescharles,1583172672,larrayeeee,221240927,514,send feet pics to anthpo,anthpo,12,1657878,8823,7739116,8716,"[""@addisonre"",""@jamescharles""]",[],2020-03-03,21.64868700766341,1
If you missed our playlist performance.. here you go 😎,1583087839,larrayeeee,221240927,514,original sound,larrayeeee,57,1189646,15908,5235107,7502,[],[],2020-03-02,23.171560772301312,1
,1583001659,larrayeeee,221240927,514,#hiteverybeat,lulbabyynelii,9,1945843,17525,10230790,17090,[],"[{""id"":""9981"",""name"":""canttouchthis"",""title"":""Some of you might remember the song from way back when ... Can't touch this 😎Try the dance moves too 1,2,3 ... 💃🏾\n\nHow to shoot: \n1. Click the shoot icon. \n2. Click on 'sounds' at the top of your screen and choose the 1st one. \n3. Have fun and don't forget to add #Canttouchthis."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/0deed85a7cce4273666b88b6917718a4""]}]",2020-03-01,19.357820852544133,1
