text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
🖤🤑 @rylandstormss,1588641412,lilhuddy,1002098555,3968,original sound,m_3dits,11,529799,917,2110627,7459,"[""@rylandstormss""]",[],2020-05-04,25.49834717361239,1
yerrrr,1588628424,lilhuddy,1002098555,3968,FEFE donyasaberiann,donyasaberian,10,376757,1751,1310475,8957,[],[],2020-05-04,29.566760144222513,1
work out for me🖤😈 @ondreazlopez,1588555865,lilhuddy,1002098555,3968,original sound,fire.soundz0,8,705390,4446,2777368,10765,"[""@ondreazlopez""]",[],2020-05-03,25.945463474771795,1
i like this version better🖤🎸,1588546664,lilhuddy,1002098555,3968,original sound,tobeepaik,11,473465,2105,1987832,8418,[],[],2020-05-03,24.347530374800286,1
artemis and aero say wsup 🖤,1588538285,lilhuddy,1002098555,3968,original sound,freakytunes,12,606919,1601,2225298,8065,[],[],2020-05-03,27.70797439264314,1
🕸🏰🤍𝔞𝔩𝔩 𝔞𝔩𝔬𝔫𝔢 𝔦𝔫 𝔪𝔶 𝔠𝔞𝔰𝔱𝔩𝔢.,1588463289,lilhuddy,1002098555,3968,original sound,j4kst3r,14,573216,1754,2528216,11862,[],[],2020-05-02,23.211307894578628,1
lmao this kids trippin i’m buff asf,1588458861,lilhuddy,1002098555,3968,Lil Noodle,aaron.ps,12,2318041,11836,11380887,30472,[],[],2020-05-02,20.73958734499341,1
,1588395092,lilhuddy,1002098555,3968,original sound,jaydalegend,12,483916,1383,2675270,10016,[],[],2020-05-01,18.51457983680152,1
thank you for the hoodie char happy birthday 🤍🦋 @charlidamelio #itsmeapp,1588389426,lilhuddy,1002098555,3968,Lpb Poody - Address It,bebesita.vina,15,3103909,26638,14845776,54126,"[""@charlidamelio""]","[{""id"":""1660823103819782"",""name"":""itsmeapp"",""title"":"""",""cover"":[]}]",2020-05-01,21.45171124769766,1
they got so scared😨💀@nickaustinn @petroutv @rylandstormss,1588378605,lilhuddy,1002098555,3968,original sound,lilhuddy,12,1687818,7672,6529237,16008,"[""@nickaustinn"",""@petroutv"",""@rylandstormss""]",[],2020-05-01,26.212833138083365,1
i put led lights up in my room today🖤🏰 #productive,1588371505,lilhuddy,1002098555,3968,all jokes,aesthetic.aud1os,15,825982,1756,4039915,11130,[],"[{""id"":""756747"",""name"":""productive"",""title"":"""",""cover"":[]},{""id"":""137490"",""name"":""vibewithme"",""title"":""Catch these vibes and #VibeWithMe."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/e48c63cceb1eabf31f2a01f4cd386cc6""]}]",2020-05-01,20.76449628271882,1
LiGhtiNg🙀✨🪐,1588282632,lilhuddy,1002098555,3968,original sound,moreloaf,15,859220,2058,3930030,14902,[],[],2020-04-30,22.294486301631284,1
🖤☠️🎮,1588277146,lilhuddy,1002098555,3968,Hustle & Flow,ZaeHD & CEO,15,696705,4689,3901116,11968,[],[],2020-04-30,18.28610069528822,1
they call me cheese hiddleston,1588204601,lilhuddy,1002098555,3968,nice smile check,luis.rosantiago,14,954147,2922,4119571,14795,[],[],2020-04-29,23.591388520795007,1
if you were a cartoon character who would u be? id be marshall lee🧛🏻(t shirt link in bio),1588197545,lilhuddy,1002098555,3968,original sound,muzerradio,5,698356,2736,3826360,13971,[],[],2020-04-29,18.687812960620537,1
new merch🤍👀link in bio #huddygang,1588192733,lilhuddy,1002098555,3968,original sound,m_3dits,11,518688,2662,2810489,8918,[],"[{""id"":""71628120"",""name"":""huddygang"",""title"":"""",""cover"":[]}]",2020-04-29,18.867463989362705,1
i love you all !! <3 i hope everyone’s quarantines going okay 🖤,1588120308,lilhuddy,1002098555,3968,Hungry Hippo,Tierra Whack,10,564545,3086,2652338,17084,[],[],2020-04-28,22.045267232155176,1
did i do this right?,1588116388,lilhuddy,1002098555,3968,aesthetic vibes,girly.aesthetics.daily,9,624720,1139,3549832,10532,[],[],2020-04-28,17.927355435412153,1
🖤:),1588101427,lilhuddy,1002098555,3968,original sound,dr.philsbabydaddy,37,2370905,9752,9409004,27938,[],[],2020-04-28,25.598830652001,1
our garden is a vibe🌷🖤,1588044489,lilhuddy,1002098555,3968,use my vibey sound,.payton12,10,549201,1383,2868776,10970,[],[],2020-04-27,19.57468969344417,1
@tonylopez  taught me one of him and @ondreazlopez s dances😭 how’d i do,1588038875,lilhuddy,1002098555,3968,Lpb Poody - Address It,bebesita.vina,15,2176318,11607,10794780,19446,"[""@tonylopez"",""@ondreazlopez""]",[],2020-04-27,20.44850381388041,1
y’all fw the new necklace?,1588025424,lilhuddy,1002098555,3968,original sound,woah.carlos,10,950678,3968,4995660,15586,[],[],2020-04-27,19.421497860142605,1
re creating my FAVORITE least favorite photo of me..,1587954412,lilhuddy,1002098555,3968,I'm Just a Kid,Simple Plan,10,1304938,4098,5721637,15364,[],[],2020-04-26,23.147221677991805,1
