text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
she blocked me @darianka,1588631161,nickaustinn,200854353,441,Cooking by the book,psherman42wallaby,14,950678,4240,3079160,14644,"[""@darianka""]",[],2020-05-04,31.487873316099197,1
every other week,1588627273,nickaustinn,200854353,441,F your opinion,sounds_xxx_uwu,9,345244,2221,1105294,4846,[],[],2020-05-04,31.874867682263723,1
hopefully your mom doesn’t have this app,1588558291,nickaustinn,200854353,441,original sound,fire.soundz0,8,556229,2581,1933469,11114,[],[],2020-05-03,29.476759130867887,1
😈,1588555355,nickaustinn,200854353,441,original sound,m_3dits,11,332624,976,1069058,3665,[],[],2020-05-03,31.547867374829053,1
@tonylopez,1588541789,nickaustinn,200854353,441,original sound,fire.soundz0,8,455932,2842,1411580,6736,"[""@tonylopez""]",[],2020-05-03,32.97793961376613,1
can i be on the remix? @jadenhossler,1588481244,nickaustinn,200854353,441,original sound,nickaustinn,15,589371,4675,1906837,8396,"[""@jadenhossler""]",[],2020-05-02,31.593785939752582,1
take that L @tonylopez  @babygirlcorinne,1588451097,nickaustinn,200854353,441,original sound,babygirlcorinne,3,590509,764,2057484,4771,"[""@tonylopez"",""@babygirlcorinne""]",[],2020-05-02,28.96955699290979,1
happy birthday @charlidamelio !! miss you 😆,1588361519,nickaustinn,200854353,441,original sound,nickaustinn,7,1292379,2310,3672284,11522,"[""@charlidamelio""]",[],2020-05-01,35.569443975465944,1
,1588289872,nickaustinn,200854353,441,Mariposa,Peach Tree Rascals,15,581737,2533,2220352,5668,[],[],2020-04-30,26.569570950912286,1
@tonylopez had to teach me this for the one time,1588283083,nickaustinn,200854353,441,Lpb Poody - Address It,bebesita.vina,10,933887,4681,3661452,7163,"[""@tonylopez""]",[],2020-04-30,25.829397736198644,1
thank you guys for 5 million i love you all sm❤️❤️🥺,1588128189,nickaustinn,200854353,441,original sound,m_3dits,11,381022,3068,1644387,7027,[],[],2020-04-28,23.784972758845697,1
i’m not high just a crack head 😝,1588121421,nickaustinn,200854353,441,original sound,nickaustinn,59,421954,1718,1578349,4132,[],[],2020-04-28,27.10452504484116,1
beach boi,1588041485,nickaustinn,200854353,441,original sound,muzerradio,5,698264,7775,2491681,8706,[],[],2020-04-27,28.685253048042668,1
jerk 😡,1588038185,nickaustinn,200854353,441,original sound,woah.carlos,10,459086,2967,1774246,4639,[],[],2020-04-27,26.303680549371393,1
jus jokes,1588028759,nickaustinn,200854353,441,Trap Sax,Nish,9,691707,5066,2884645,5757,[],[],2020-04-27,24.354123297667478,1
this is harder than highschool... wait i didn’t finish high school,1587967838,nickaustinn,200854353,441,original sound,nickaustinn,59,952712,4951,3358625,7666,[],[],2020-04-26,28.741791655811532,1
eskimo bro’s lol,1587949059,nickaustinn,200854353,441,Oh my gosh you guys are twins,kaygon__,13,874917,2947,3466455,7004,[],[],2020-04-26,25.52659705664721,1
pce ✌🏼,1587941196,nickaustinn,200854353,441,I'm Just a Kid,Simple Plan,8,1313311,4246,4869202,9043,[],[],2020-04-26,27.244710734941783,1
true story (a bunch of girls broke out into a fight cuz of me) ib: @joshrichards,1587847143,nickaustinn,200854353,441,13,yung_bennnn,9,881584,4978,3047938,11434,"[""@joshrichards""]",[],2020-04-25,29.462410324619466,1
i’m sunburnt,1587839556,nickaustinn,200854353,441,credit to goblin jae,slowedtunes,15,433656,4963,1792741,7159,[],[],2020-04-25,24.865722377075105,1
i guess we went for the same one,1587775925,nickaustinn,200854353,441,BB.EIGHT USED MY AUDIO YALL,ignore_waudio,7,1231087,9784,4882069,16393,[],[],2020-04-24,25.752688050906286,1
POV: you see see sarah cameron at the community pool,1587763340,nickaustinn,200854353,441,Interior Crocodile Alligator,Lil Memer,8,468190,2063,2010012,5893,[],[],2020-04-24,23.68871429623306,1
vibes,1587694437,nickaustinn,200854353,441,original sound,oliviaelysse,14,356882,4028,1580512,3712,[],[],2020-04-23,23.069865967483956,1
@tonylopez,1587682120,nickaustinn,200854353,441,Party Girl,StaySolidRocky,8,834792,8690,4151708,11878,"[""@tonylopez""]",[],2020-04-23,20.60260500015897,1
my friends are hot,1587592697,nickaustinn,200854353,441,timmy trend,sandy.0234,15,889945,10405,5407775,16923,[],"[{""id"":""7903987"",""name"":""timmytrend"",""title"":"""",""cover"":[]}]",2020-04-22,16.962114732953943,1
every guy watching this be like,1587589092,nickaustinn,200854353,441,timmy trend,sandy.0234,7,970181,6818,6801120,11473,[],[],2020-04-22,14.533959112616746,1
🤓,1587585677,nickaustinn,200854353,441,Party Girl,StaySolidRocky,8,737713,3505,3589449,7838,[],[],2020-04-22,20.868272539880074,1
outer banks hits,1587560892,nickaustinn,200854353,441,Why did so many people use my audio,.broskyz,8,486584,2786,2130859,9489,[],[],2020-04-22,23.411168922955483,1
woke up at 8:30pm today hehe XD,1587536700,nickaustinn,200854353,441,LMK,lilxxel,15,387923,2806,1541290,4955,[],[],2020-04-21,25.672261547145574,1
am i doing this right? @tonylopez,1587428858,nickaustinn,200854353,441,ceo of underrated audios,jadenhasnoclout,11,553053,8021,2457630,12493,"[""@tonylopez""]",[],2020-04-20,23.338216086229416,1
tired of this kid #duet with @tylerfunke,1587426728,nickaustinn,200854362,441,original sound,tylerfunke,11,452235,1079,2273619,3338,"[""@tylerfunke""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]",2020-04-20,20.084807524919523,1
fanjoy.co/nickaustin (link in bio),1587424721,nickaustinn,200854362,441,DJ Yames Mashup 7,dj_yames,15,424777,2978,1943078,3909,[],[],2020-04-20,22.215474623252387,1
😳,1587256205,nickaustinn,200854362,441,Laxed Siren Beat Loop,Jawsh 685,15,1187739,12712,4992827,14310,[],"[{""id"":""12042"",""name"":""happydance"",""title"":""Let's get into the #happyDance mode and enjoy this trend! 💃"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/34d4a0065dd1df11ce29aceb2bf2b0a5""]}]",2020-04-18,24.330123995884495,1
,1587206741,nickaustinn,200854362,441,follow me for using this sound eemilyscott1,eemilyscott1,5,497206,3329,2320359,6724,[],[],2020-04-18,21.861229232200706,1
you look really pretty,1587171113,nickaustinn,200854362,441,original sound,actorxaudios,14,423778,5962,2026591,6092,[],[],2020-04-17,21.505671346611134,1
i’m stiff,1587160318,nickaustinn,200854362,441,Laxed Siren Beat Loop,Jawsh 685,15,580670,6790,2538686,7472,[],"[{""id"":""12042"",""name"":""happydance"",""title"":""Let's get into the #happyDance mode and enjoy this trend! 💃"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/34d4a0065dd1df11ce29aceb2bf2b0a5""]}]",2020-04-17,23.434642960964847,1
come swim 🧸🥺,1587081685,nickaustinn,200854362,441,original sound,悪い,12,420613,6085,1734503,10413,[],[],2020-04-16,25.20093652187399,1
idk why i thought this was funny,1587080182,nickaustinn,200854362,441,Let's Do It Again,J Boog,8,557142,4810,2521750,4330,[],[],2020-04-16,22.45591355209676,1
lost,1587064969,nickaustinn,200854362,441,Lost by frank ocean,jaylenrowee,15,316194,7175,1399861,7245,[],[],2020-04-16,23.617630607610327,1
yo that was kinda clean,1587009687,nickaustinn,200854362,441,CatchTheSplashChallenge,robirawks_,15,531606,1644,2287012,2532,[],[],2020-04-15,23.4271617289284,1
