text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
❤️ @miahaywarddd @nickaustinn @sanzone,1588648344,petroutv,208898099,668,Hold Your Heart,Mr_Hotspot,15,553696,1785,1792297,7247,"[""@miahaywarddd"",""@nickaustinn"",""@sanzone""]",[],2020-05-05,31.39702850587821,1
Caught,1588636484,petroutv,208898099,668,original sound,petroutv,9,308227,731,1082296,2419,[],[],2020-05-05,28.770040728229617,1
We couldn’t do this @sanzone #trynottolaugh,1588549246,petroutv,208898099,668,READ UR MIND BY JUDAH HOLIDAY,kbreeezo,15,173125,68,652684,1805,"[""@sanzone""]","[{""id"":""49732"",""name"":""trynottolaugh"",""title"":""Like the old staring contest, but the stakes are higher with a mouthful of water😂💦"",""cover"":[]}]",2020-05-04,26.812056063883897,1
We played musical chairs with a twist. Full video link in bio!,1588531354,petroutv,208898099,668,original sound,petroutv,41,577735,383,2018422,2388,[],[],2020-05-04,28.76038806552842,1
@k0uvr 😂😂,1588385236,petroutv,208898099,668,original sound,petroutv,7,1075932,804,4020118,3770,"[""@k0uvr""]",[],2020-05-02,26.877469765812844,1
"Happy birthday @charlidamelio  I’m so proud of you, you’re one of the best people I’ve met out in LA and I can’t wait to see how much farther you go",1588308814,petroutv,208898099,668,original sound,petroutv,22,1206731,1706,3437457,10038,"[""@charlidamelio""]",[],2020-05-01,35.446988864151606,1
#duet with @miahaywarddd,1588297138,petroutv,208898099,668,original sound,miahaywarddd,7,318458,265,2394019,1781,"[""@miahaywarddd""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]",2020-05-01,13.38769658887419,1
Just some photos going through my life over the past year #itsmeapp,1588274374,petroutv,208898099,668,Mariposa,Peach Tree Rascals,15,425046,524,1932267,4619,[],"[{""id"":""1660823103819782"",""name"":""itsmeapp"",""title"":"""",""cover"":[]}]",2020-05-01,22.263434608157155,1
We had a knife throwing competition 😂 full video link in bioo,1588269955,petroutv,208898099,668,original sound,petroutv,30,538526,346,1936096,3395,[],[],2020-05-01,28.00827025106193,1
The martinelles 🍎 thing is real 😂 full video link in bioo!!,1588269741,petroutv,208898099,668,original sound,petroutv,32,670747,1943,2234932,4397,[],[],2020-05-01,30.295642104547255,1
@lilhuddy isn’t having it,1588210236,petroutv,208898099,668,original sound,petroutv,12,1693311,2363,5776633,6552,"[""@lilhuddy""]",[],2020-04-30,29.467442366513502,1
Wake up,1588206724,petroutv,208898099,668,Bad Boys,Buddy & Kent Jamz,14,429735,102,1535262,2127,[],[],2020-04-30,28.13617480273725,1
Savannah Cat Update  #BangEnergy @bangenergy @bangenergy.ceo,1588114751,petroutv,208898099,668,original sound,petroutv,34,522776,420,1718119,3956,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-29,30.681925989992543,1
Just Some Good Vibes  #BangEnergy @bangenergy @bangenergy.ceo,1588114632,petroutv,208898099,668,original sound,petroutv,28,444683,746,1790746,3163,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-29,25.05056551850458,1
Teaching Chase how to drive gone wrong 😂 full video link in bioo!,1588095395,petroutv,208898099,668,original sound,petroutv,35,885900,2490,3086498,6597,[],[],2020-04-29,28.996843672019228,1
@lilhuddy and @paperyates  had a western standoff. Full video link in bioo😂,1588095342,petroutv,208898099,668,original sound,petroutv,33,447201,411,1776472,2522,"[""@lilhuddy"",""@paperyates""]",[],2020-04-29,25.338648737497692,1
POV your ex wants to get back together,1588020958,petroutv,208898099,668,original sound,rodwave,15,275017,572,1357106,3747,[],[],2020-04-28,20.583211628273695,1
Everyone during quarantine 😂,1587928602,petroutv,208898099,668,Tuff,Jaah SLT,15,545517,680,2273818,6317,[],[],2020-04-27,24.298954445782382,1
We scared the hype house :/ full video link in bioo!,1587925420,petroutv,208898099,668,Tuff,Jaah SLT,31,510812,1188,2120866,5427,[],[],2020-04-27,24.396968030983572,1
Tony finally got his Tesla! Full video link in bioo!,1587925378,petroutv,208898099,668,original sound,petroutv,22,552129,1337,2212679,4533,[],[],2020-04-27,25.21825352886704,1
Liar liar pants on 🔥,1587875909,petroutv,208898099,668,original sound,petroutv,10,479985,338,1786634,1983,[],[],2020-04-26,26.995232375517315,1
ha ha ha,1587875044,petroutv,208898099,668,original sound,petroutv,6,377441,442,1419393,2450,[],[],2020-04-26,26.795468203661706,1
How is she good at this?? @alexwaarren @k0uvr,1587872024,petroutv,208898099,668,original sound,petroutv,9,397454,411,1478713,1955,"[""@alexwaarren"",""@k0uvr""]",[],2020-04-26,27.038377291604256,1
