text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
,1588636895,rylandstormss,59111940,419,original sound,rylandstormss,15,137980,406,376950,1999,[],[],2020-05-04,37.24233983286908,1
Young wild and free,1588626883,rylandstormss,59111940,419,SIKEEEE,peytonnflynn,11,162497,509,522857,2365,[],[],2020-05-04,31.628341974956825,1
Quality. Content all day baby,1588557532,rylandstormss,59111940,419,original sound,bxns0n,15,118118,765,364641,2771,[],[],2020-05-03,33.362677263390566,1
Jj the fish,1588557393,rylandstormss,59111940,419,original sound,rylandstormss,15,218667,811,708564,2080,[],[],2020-05-03,31.26859394493652,1
,1588538654,rylandstormss,59111940,419,original sound,fire.soundz0,8,247765,1052,780376,2759,[],[],2020-05-03,32.237793063856394,1
This song was such a bop,1588458725,rylandstormss,59111940,419,original sound,freakytunes,14,115550,716,414964,1708,[],[],2020-05-02,28.42993609084162,1
I’m only messing with Olaf g,1588378784,rylandstormss,59111940,419,original sound,rylandstormss,5,341154,2153,1068654,5211,[],[],2020-05-01,32.612800775555044,1
happy b day Charls everyone go cop them sweet 16 hoodies ❤️,1588362910,rylandstormss,59111940,419,THOT!,TOKYO'S REVENGE & ZEDSU,9,384971,380,1284776,1998,[],[],2020-05-01,30.1491466216679,1
,1588283029,rylandstormss,59111940,419,timmy trend,sandy.0234,12,210933,1067,719761,2272,[],[],2020-04-30,29.76988194692405,1
@lucalombardo  there’s 2 types of guys in this world lol Saturday’s r back on boys,1588113051,rylandstormss,59111940,419,original sound,carneyval_,16,239159,252,958720,1719,"[""@lucalombardo""]",[],2020-04-28,25.151243324432578,1
I haven’t wore a shirt in like 5 days it’s so hot in la but ❤️❤️❤️,1588038092,rylandstormss,59111940,419,son original,fp.ryland.storms,7,212226,644,815989,2360,[],[],2020-04-27,26.376581056852483,1
Here’s a draft cus I have no ideas rn,1587935689,rylandstormss,59111940,419,original sound,eggxavier_,8,155409,462,620331,1667,[],[],2020-04-26,25.395796760116777,1
We needed to get out so we found an empty beach thts still opened,1587855559,rylandstormss,59111940,419,Laxed (Siren Beat),cjtooicy,15,219463,1105,828950,2030,[],[],2020-04-25,26.853006815851376,1
So what,1587838294,rylandstormss,59111940,419,Young Wild And Free,Snoop Dogg;Wiz Khalifa;Bruno Mars,14,211626,452,811003,1811,[],[],2020-04-25,26.37339196032567,1
Just some facts bout the boys,1587774688,rylandstormss,59111940,419,FRIENDS,LAUNDRY DAY,14,200438,952,780789,2453,[],[],2020-04-24,26.107309401131417,1
Sup shawty,1587763095,rylandstormss,59111940,419,original sound,rylandstormss,6,324312,2234,1050768,3389,[],[],2020-04-24,31.39941452347236,1
POV me and the boy scope 2 baddies in Taco Bell,1587692577,rylandstormss,59111940,419,the less i know the better camerongustman,camerongustman,15,183401,1448,714529,2554,[],[],2020-04-23,26.227486917955744,1
Kinda went in at the end,1587676416,rylandstormss,59111940,419,original sound,avani,10,115951,313,527097,1408,[],[],2020-04-23,22.32454367981605,1
Lol,1587591343,rylandstormss,59111940,419,original sound,rylandstormss,21,109755,823,567147,2210,[],[],2020-04-22,19.886907627123126,1
Bruh just found this in my drafts and idk why I never posted it 💀😂,1587495932,rylandstormss,59111940,419,original sound,bxby.skyy,10,162266,689,742546,1720,[],[],2020-04-21,22.1770772450461,1
Nick my mom has this app chill,1587426615,rylandstormss,59111940,419,Lost by frank ocean,jaylenrowee,10,572393,2002,2036368,3133,[],[],2020-04-20,28.360689227094515,1
,1587422362,rylandstormss,59111940,419,Party Girl,StaySolidRocky,7,212854,1434,1252208,2006,[],[],2020-04-20,17.273008956978394,1
I don’t kno the lyrics 😢,1587339790,rylandstormss,59111940,419,LMK,lilxxel,15,330212,2697,1273757,3298,[],[],2020-04-19,26.394908919048138,1
Lol,1587326037,rylandstormss,59111940,419,ceo of underrated audios,jadenhasnoclout,14,151355,1094,639200,2702,[],[],2020-04-19,24.272684605757195,1
I like this sound a lot,1587250567,rylandstormss,59111940,419,Laxed (Siren Beat),cjtooicy,15,155686,921,715283,2178,[],[],2020-04-18,22.198905887599732,1
Nick was ￼staring at me I couldn’t stop laughing,1587162310,rylandstormss,59111940,419,Laxed (Siren Beat),cjtooicy,15,476605,3111,2896891,3290,[],[],2020-04-17,16.67325418871473,1
I made this on my spam account but idc I will simp for this women @jessicaalba,1587059111,rylandstormss,59111940,419,Savage,Megan Thee Stallion,15,148632,280,800916,1619,"[""@jessicaalba""]",[],2020-04-16,18.794854891149633,1
Sunset vibes,1587003535,rylandstormss,59111940,419,original sound,rylandstormss,31,148928,755,649442,1254,[],[],2020-04-15,23.24102845211736,1
Wasn’t first try lol,1586911205,rylandstormss,59111944,419,CatchTheSplashChallenge,robirawks_,15,354566,1078,1523420,1748,[],[],2020-04-14,23.45984692336979,1
I mean if it leads to it,1586902220,rylandstormss,59111944,419,original sound,_turkey.bacon_,15,114007,917,613464,1504,[],[],2020-04-14,18.978782781059685,1
Easter vibes,1586815141,rylandstormss,59111944,419,Dad's Van,Lila Drew,15,357557,1182,1355609,2390,[],[],2020-04-13,26.63961363490505,1
i see u,1586743554,rylandstormss,59111944,419,OMG brønwen_jønes USED MY SOUND YAY,ashxmylesx,6,442132,2489,1852549,3054,[],[],2020-04-12,24.165352711318295,1
Hi,1586569667,rylandstormss,59111944,419,Hobo Johnson preforming on NPR Tiny Desk Concert,_alt.music_,6,203793,834,925394,2544,[],[],2020-04-10,22.387329072805745,1
Idk I like this video,1586483786,rylandstormss,59111944,419,original sound,rylandstormss,3,201654,1253,859142,1220,[],[],2020-04-09,23.75940182181758,1
So this is a trend,1586461112,rylandstormss,59111944,419,noen abby and sarah used this sound and im crying,.gacha._.cartoons,10,260264,1239,1067068,2946,[],[],2020-04-09,24.782769233076056,1
We lit,1586405264,rylandstormss,59111944,419,Outta There,Moe,12,165831,1419,807683,1583,[],[],2020-04-08,20.903374219836248,1
We just woke up lol,1586388205,rylandstormss,59111944,419,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",13,395252,3183,1460188,2906,[],[],2020-04-08,27.48557035121505,1
,1586307442,rylandstormss,59111944,419,follow me fw.naomi.13,fw.naomi.13,14,227609,2277,1057728,1890,[],[],2020-04-07,21.91262782114116,1
,1586222027,rylandstormss,59111944,419,original sound,rylandstormss,14,279092,1133,997591,2118,[],[],2020-04-06,28.30248067594836,1
@majorwavezz,1586217174,rylandstormss,59111944,419,original sound,official.vibes,6,155144,951,749447,1047,"[""@majorwavezz""]",[],2020-04-06,20.967726870612598,1
Watch till the end to see my love 🥺😍,1586134017,rylandstormss,59111944,419,Mariposa,Peach Tree Rascals,15,286341,1837,1405038,1846,[],[],2020-04-05,20.641719298695126,1
throwback to the funniest video ever this is me in an Uber like a year in a half ago sending snaps in our group chat 💀💀,1586121439,rylandstormss,59111944,419,original sound,rylandstormss,7,251565,1641,1093451,936,[],[],2020-04-05,23.24219375170904,1
@fashionnova #myfnfit,1586045122,rylandstormss,59111944,419,original sound,rylandstormss,29,344528,1039,1306887,1947,"[""@fashionnova""]","[{""id"":""1655916627545093"",""name"":""myfnfit"",""title"":"""",""cover"":[]}]",2020-04-04,26.590975348289486,1
Y’all wanted to kno,1586033629,rylandstormss,59111944,419,original sound,rylandstormss,42,796134,11285,2971556,9842,[],[],2020-04-04,27.502796514687926,1
I had no run up,1585950436,rylandstormss,59111944,419,comingsoon,jadenhossler,15,380376,1831,1664842,1816,[],[],2020-04-03,23.06663335019179,1
📽🖤,1585864652,rylandstormss,59111944,419,original sound,rylandstormss,26,101630,618,634312,1092,[],[],2020-04-02,16.291667192170415,1
New YouTube video is now up on my channel @dixiedamelio does mine and @imgriffinjohnson make up,1585782557,rylandstormss,59111944,419,original sound,rylandstormss,17,311067,1265,1399351,911,"[""@dixiedamelio"",""@imgriffinjohnson""]",[],2020-04-01,22.384876989404372,1
why do I make my self laugh more then anyone else makes me laugh,1585698361,rylandstormss,59111944,419,original sound,rylandstormss,32,316514,2833,1368911,2590,[],[],2020-03-31,23.517745127331143,1
,1585633968,rylandstormss,59111944,419,TLC,Sy Ari Da Kid,9,145491,1368,789794,1328,[],[],2020-03-30,18.76274066402125,1
@brycehall,1585543458,rylandstormss,59111944,419,Addison Rae,The Kid LAROI,10,414548,1654,1884526,2515,"[""@brycehall""]",[],2020-03-29,22.21869053544499,1
Tony better watch our nicks been my baby since freshmen year,1585526244,rylandstormss,59111944,419,I.F.L.Y. by Bazzi,daycore.audios,8,809336,7230,3295928,6723,[],[],2020-03-29,24.978974055258487,1
#greenscreen I’m single 🥺,1585450041,rylandstormss,59111944,419,I'm Single and I'm Lit,Rontae Don't Play,10,224408,1325,1092297,3206,[],"[{""id"":""801886"",""name"":""greenscreen"",""title"":""Try out our new #GreenScreen Creative Effect! Just pick an image from your camera roll, stand in front of a plain background, and make the next TikTok masterpiece."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/0eed42cd4bfb738d46d0caefa162a585""]}]",2020-03-28,20.95940939140179,1
@ondreazlopez_,1585362398,rylandstormss,59111944,419,OMG brønwen_jønes USED MY SOUND YAY,ashxmylesx,6,289929,1951,1335490,2251,"[""@ondreazlopez_""]",[],2020-03-27,22.02420085511685,1
Morning,1585329618,rylandstormss,59111944,419,original sound,rylandstormss,36,134742,509,695995,890,[],[],2020-03-27,19.56062902750738,1
,1585271826,rylandstormss,59111944,419,original sound,jackisthegreatesttt,12,113410,801,608076,1967,[],[],2020-03-26,19.10583545477868,1
Hi,1585255057,rylandstormss,59111944,419,how to flirt,psychobunnybaby,15,209920,1493,928929,2236,[],[],2020-03-26,22.9994972705126,1
