text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
@lilhuddy @tonylopez @larrayeeee @rylandstormss,1588638044,thehypehouse,376697318,219,original sound,fire.soundz0,8,862200,2315,2989112,7567,"[""@lilhuddy"",""@tonylopez"",""@larrayeeee"",""@rylandstormss""]",[],2020-05-04,29.175286841041753,1
❤️,1588633083,thehypehouse,376697318,219,Mariposa,Peach Tree Rascals,15,577404,1403,1954069,8861,[],[],2020-05-04,30.07406596184679,1
HAPPY BIRTHDAY CHARLI❤️ @jameswrightt @jack.wright,1588379179,thehypehouse,376697318,219,Hit Yo Groove,RunitupTahj,15,969013,1009,3277407,7865,"[""@jameswrightt"",""@jack""]",[],2020-05-01,29.8372158233628,1
Us first day out of quarantine #tuff #jaahslt @jaahslt2,1588268129,thehypehouse,376697318,219,Tuff,Jaah SLT,15,1193776,9242,4308417,19235,"[""@jaahslt2""]","[{""id"":""62804"",""name"":""tuff"",""title"":"""",""cover"":[]},{""id"":""1657754681595910"",""name"":""jaahslt"",""title"":"""",""cover"":[]}]",2020-04-30,28.3689577865838,1
this dance is gas 🔥 @lilhuddy @tonylopez  dc : @childish__calvino,1588039799,thehypehouse,376697318,219,Crayons᯾,wavyxdrae,9,827758,2503,3648174,7285,"[""@lilhuddy"",""@tonylopez"",""@childish__calvino""]",[],2020-04-27,22.957951018783643,1
😎🤘🏻🏰,1587677403,thehypehouse,376697318,219,original sound,_dannieelaa01,6,1306952,2663,5938945,8751,[],[],2020-04-23,22.19865649538765,1
this dance is fire @jack.wright @jameswrightt (dc @jeanvictorm ),1587610510,thehypehouse,376697318,219,Rain,Aitch & AJ Tracey,15,413707,1929,3008794,4195,"[""@jack"",""@jameswrightt"",""@jeanvictorm""]",[],2020-04-22,13.953464411322278,1
🤖 🤖 🤖,1587589244,thehypehouse,376697318,219,WALKED IN,ultradiox,13,2347830,10309,10049975,22801,[],[],2020-04-22,23.691004206478127,1
we’re with each other too much in this quarantine @jack.wright @jameswrightt  (dc @katpacher),1587519572,thehypehouse,376697318,219,Blow Your Mind (Mwahchallenge),Dua Lipa,15,971790,7734,4966614,5817,"[""@jack"",""@jameswrightt"",""@katpacher""]",[],2020-04-21,19.839290913286195,1
Good Morning  @lilhuddy,1587407286,thehypehouse,376697318,219,Gimme Love,Joji,15,1160869,3418,5344354,15935,"[""@lilhuddy""]",[],2020-04-20,22.083529646426864,1
@k0uvr @petroutv,1587171535,thehypehouse,376697318,219,Laxed Siren Beat Loop,Jawsh 685,15,2113813,5766,11548047,15341,"[""@k0uvr"",""@petroutv""]","[{""id"":""12042"",""name"":""happydance"",""title"":""Let's get into the #happyDance mode and enjoy this trend! 💃"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/34d4a0065dd1df11ce29aceb2bf2b0a5""]}]",2020-04-17,18.487281875454784,1
@nickaustinn got jealous @tonylopez @rylandstormss,1586913754,thehypehouse,376697318,219,original sound,thehypehouse,6,1516206,11088,7280689,13487,"[""@nickaustinn"",""@tonylopez"",""@rylandstormss""]",[],2020-04-14,21.16257128961284,1
@ondreazlopez @tonylopez #believeit,1586744452,thehypehouse,376697318,219,BELIEVE IT,PARTYNEXTDOOR & Rihanna,13,840275,6047,4922948,6860,"[""@ondreazlopez"",""@tonylopez""]","[{""id"":""127936"",""name"":""believeit"",""title"":"""",""cover"":[]}]",2020-04-12,17.33071322305253,1
