text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
lol 😂 @larrayeeee,1588630949,tonylopez,481419194,388,Dont Touch The,tophat.cosplay,9,917652,2415,3118158,12905,"[""@larrayeeee""]",[],2020-05-05,29.92061338777573,1
It’s hot out 😓,1588626539,tonylopez,481419194,388,ROCKSTAR DABABY FT RODDY RICH,calegoes,15,678680,4889,3032044,18842,[],[],2020-05-05,23.166253524025375,1
😙,1588552754,tonylopez,481419194,388,original sound,joyy.li,5,1474084,4951,5130456,22479,[],[],2020-05-04,29.266677270012647,1
And we gone lol @nickaustinn,1588541864,tonylopez,481419194,388,original sound,fire.soundz0,8,1303574,7070,5334058,18291,"[""@nickaustinn""]",[],2020-05-04,24.91414604040676,1
You’re cute,1588534201,tonylopez,481419194,388,after party girl,koofwip,15,1066021,6670,4337513,48578,[],[],2020-05-04,25.850504655548008,1
Had to try after I saw @kidddoo_ 🔥,1588465514,tonylopez,481419194,388,Kontrol,Maleek Berry,15,1364396,17017,6180645,31717,"[""@kidddoo_""]",[],2020-05-03,22.86379495991114,1
Yo 😚,1588382243,tonylopez,481419194,388,original sound,priscilavillelaa,8,2409390,27672,10131418,55344,[],[],2020-05-02,24.600761709762644,1
This didnt go as planned.... @bangenergy @bangenergy.ceo #bangenergy,1588374292,tonylopez,481419194,388,original sound,tonylopez,20,1277565,3064,5213275,12782,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-05-02,24.809951517999725,1
I LOVE YOU GUYS SO MUCH !!!! OMG,1588362380,tonylopez,481419194,388,original sound,sunflowerxcult,8,1142193,2283,4731115,29566,[],[],2020-05-02,24.81533422882344,1
😚😚😚,1588303039,tonylopez,481419194,388,Mariposa,Peach Tree Rascals,17,1322783,9213,5652013,38269,[],[],2020-05-01,24.243840203481483,1
The I’m “I’m talkin bout” part gets me all the time @ondreazlopez,1588198052,tonylopez,481419194,388,Lpb Poody - Address It,bebesita.vina,15,1711067,11195,8968097,17247,"[""@ondreazlopez""]",[],2020-04-30,19.396634536847674,1
Crop tops all summer,1588183667,tonylopez,481419194,388,after party girl,koofwip,15,1333428,15756,7602527,29656,[],[],2020-04-30,18.13660115906198,1
Don’t get mad hoe get a bag,1588114566,tonylopez,481419194,388,Hot Girl,Megan Thee Stallion,15,1317115,10564,7517402,24353,[],[],2020-04-29,17.985362496245376,1
,1588103229,tonylopez,481419194,388,original sound,microwafes,15,1334198,9975,5859613,43609,[],[],2020-04-29,23.683850793559234,1
What did I just watch....wow   @tonylopezfuntime,1588030293,tonylopez,481419194,388,original sound,tonylopezfuntime,24,2783071,9436,11025566,28211,"[""@tonylopezfuntime""]",[],2020-04-28,25.583430365388953,1
😌 @bangenergy @bangenergy.ceo #bangenergy,1588016576,tonylopez,481419194,388,Laxed Siren Beat Loop,Jawsh 685,15,1462427,8511,7377048,25154,"[""@bangenergy"",""@bangenergy""]","[{""id"":""1605808460579845"",""name"":""bangenergy"",""title"":"""",""cover"":[]}]",2020-04-28,20.28036146708006,1
Call me helicopter one more time,1587948322,tonylopez,481419194,388,original sound,woah.carlos,10,1809623,9460,8607119,44394,[],[],2020-04-27,21.65041519700146,1
Work out for me 😛,1587941385,tonylopez,481419194,388,original sound,fire.soundz0,8,1325722,8512,7656239,21529,[],[],2020-04-27,17.707950339585793,1
,1587867699,tonylopez,481419194,388,Lpb Poody - Address It,bebesita.vina,15,2814296,29767,17802608,28821,[],[],2020-04-26,16.137433346844464,1
I just bought a dream car! THANK YOU EVERYONE THAT SUPPORTS ME I LOVE YOU SO MUCH YOU MEAN THE FUCKING WORLD TO ME!,1587861638,tonylopez,481419194,388,Laxed Siren Beat Loop,Jawsh 685,15,2170827,5533,10251758,41110,[],"[{""id"":""12042"",""name"":""happydance"",""title"":""Let's get into the #happyDance mode and enjoy this trend! 💃"",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/34d4a0065dd1df11ce29aceb2bf2b0a5""]}]",2020-04-26,21.63014382508834,1
@jeanvictorm,1587850103,tonylopez,481419194,388,Hustle & Flow,ZaeHD & CEO,15,1204825,16466,7824631,18682,"[""@jeanvictorm""]",[],2020-04-26,15.847047611574272,1
We need girlfriends @nickaustinn,1587773515,tonylopez,481419194,388,original sound,that.hawaiian,7,1988856,9963,9503914,29168,"[""@nickaustinn""]",[],2020-04-25,21.338440141609023,1
We suck at this lol,1587754836,tonylopez,481419194,388,original sound,tonylopez,50,1667481,3439,7456078,12327,[],[],2020-04-25,22.575501490193638,1
I’m talking bout mhm mhm 🥵,1587698358,tonylopez,481419194,388,Lpb Poody - Address It,bebesita.vina,15,3266731,67049,22905391,30703,[],[],2020-04-24,14.688607585873562,1
@justinbieber  let’s dance together sometime!,1587680683,tonylopez,481419194,388,Come Around Me,Justin Bieber,15,1393391,8263,7913441,18225,"[""@justinbieber""]",[],2020-04-24,17.942624453761642,1
