"id","text","createTime","authorMeta.id","authorMeta.name","authorMeta.nickName","authorMeta.following","authorMeta.fans","authorMeta.heart","authorMeta.video","authorMeta.digg","authorMeta.verified","authorMeta.private","authorMeta.signature","authorMeta.avatar","musicMeta.musicId","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","musicMeta.playUrl","covers.default","covers.origin","covers.dynamic","imageUrl","webVideoUrl","videoUrl","videoUrlNoWaterMark","videoMeta.width","videoMeta.height","videoMeta.ratio","videoMeta.duration","diggCount","shareCount","playCount","commentCount","downloaded","mentions","hashtags"
"6823124604572290309","","1588632495","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6820594337911474949","Mrs Savage","sunrae_music",true,"https://p16.muscdn.com/obj/musically-maliva-obj/2d68e4bc9d044eaa797e4529801d784f.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/67af47c38ee54a9a838800f4c10b71c2","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/17648fb844154ce3b1a920737efe901d_1588632496","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/32c0ecf17b414b0f80f2da591a02f19d_1588632496","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/17648fb844154ce3b1a920737efe901d_1588632496","https://www.tiktok.com/@addisonre/video/6823124604572290309","https://v16.muscdn.com/235a7ff7034924561e6d3d37130137f6/5eb201db/video/tos/useast2a/tos-useast2a-ve-0068c002/b3aa9941c3ea410c92098824dbcbcba5/?a=1233&br=2406&bt=1203&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=amh3ZnlvbmQ8dDMzNjczM0ApNGU0O2czZ2Q1NzYzPGQ2N2dpMWJecnNja2xfLS1iMTZzcy40NDAuYC9jM181M2FfYWI6Yw%3D%3D&vl=&vr=","",576,1024,11,11,3077829,8494,12345313,56350,false,"[]","[]"
"6823119629930482949","THANK YALL FOR 38 MILLION!!! I LOVE YOU ALL","1588631336","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6605071636221659910","Soda Drama","ss43737849657",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1612566505564166","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/47b6c43f471cd9c61afb92ffa76c2770","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/e4f199f65920432da83e4e5e74dd6d76_1588631338","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/6c931006e6664fe4b4564d540bd02c4d_1588631338","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/e4f199f65920432da83e4e5e74dd6d76_1588631338","https://www.tiktok.com/@addisonre/video/6823119629930482949","https://v16.muscdn.com/6c905e3db387b8d1741a0cefee038128/5eb201df/video/tos/useast2a/tos-useast2a-ve-0068c003/b61c0a427f0d439ea446cc62e3944fec/?a=1233&br=3032&bt=1516&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=M3dmbGlrdjo8dDMzaDczM0ApOWdnN2hnOmQ3NzplNDQ7NGdxL19hc2Y2YmxfLS1jMTZzc2AyLWMtNWJeMGBhYmJjLl46Yw%3D%3D&vl=&vr=","",576,1024,15,15,1915292,2575,8423167,23116,false,"[]","[]"
"6823092497036627205","","1588625018","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6818078544678128390","original sound","ibuyhorse2.0",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1664570078475285.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/777c49e18c3d4f11b4849ae802341d73","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/11eef6c3a5c94056b0b906915da3510b_1588625021","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/968f80519d564a7095d216a4643d8722_1588625021","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/11eef6c3a5c94056b0b906915da3510b_1588625021","https://www.tiktok.com/@addisonre/video/6823092497036627205","https://v16.muscdn.com/7384c10edb45bbf324674b9d9453f644/5eb201d9/video/tos/useast2a/tos-useast2a-pve-0068/dd4e2798fc4d42d9823b4236601e336a/?a=1233&br=2734&bt=1367&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=anN5Ozw2aXY6dDMzZTczM0ApOjNpNzo7OGRmNzRnOjQ5NWdhZ2ovcmEtcGxfLS0uMTZzc2IwYWJgYzMzYzUwXl5jMDY6Yw%3D%3D&vl=&vr=","",576,1024,9,9,2348335,6881,10086419,36554,false,"[]","[]"
"6823091343422688518","@livinthelopezlife","1588624750","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6750731641922063109","original sound","fire.soundz0",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1648142196334597.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/dc42b69c1c7e42e5ae4b29de3e63bc2c","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/f84a98f956d145c5a1b3818874b22b8c_1588624752","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/af3035317820447c9f4bf45a2faa6109_1588624753","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/f84a98f956d145c5a1b3818874b22b8c_1588624752","https://www.tiktok.com/@addisonre/video/6823091343422688518","https://v16.muscdn.com/e7214c243beccd47479e965309763fec/5eb201d8/video/tos/useast2a/tos-useast2a-pve-0068/64101d8fcaa4430495249f517d697006/?a=1233&br=5452&bt=2726&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=MzNrbGRpPHM6dDMzNzczM0ApMzk4NTtmNjwzN2Y8OTk4aGdgbmlqL2ZnbmxfLS1hMTZzczMwNjIxMTEuMjEtL2JeYjI6Yw%3D%3D&vl=&vr=","",576,1024,8,8,2296794,7010,12037473,27129,false,"[""@livinthelopezlife""]","[]"
"6822804928398937349","","1588558064","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6822804877022890757","original sound","addisonre",true,"https://p16.muscdn.com/obj/musically-maliva-obj/fae458f5c1d4dc6f0487cb66c8184af7.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5c9296c10c59acc2c67e1e437e47af7a","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/32b5726a15d84a38ad5fe1bf2f2bd673_1588558066","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/3dc4bb204ae44d008e48a79a8ab081ae_1588558066","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/32b5726a15d84a38ad5fe1bf2f2bd673_1588558066","https://www.tiktok.com/@addisonre/video/6822804928398937349","https://v16.muscdn.com/7c4b3db7a7a4e44a3682beb882e84d53/5eb201f4/video/tos/useast2a/tos-useast2a-ve-0068c004/21fa548ee25c43cb8ee427d871763e06/?a=1233&br=3064&bt=1532&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=M29vazVyOnNxdDMzODczM0ApMzhoZzNnNWVmNzQ0MzZoNmdiYGRxbDBuZWtfLS1eMTZzc2MtNmM2YjNjNl41LTQ0NGE6Yw%3D%3D&vl=&vr=","",576,1024,36,36,2739248,4600,11274832,45643,false,"[]","[]"
"6822785891421932806","","1588553632","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6813465229595249414","original sound","m_3dits",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663445340249126.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/9c8b14294b604dad9e8fa71e195aa6ff","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/4f7d1c73b6ac41a49373311e43f0e04d_1588553634","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/50249d7876834cebb068b6ad6ee1ff52_1588553633","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/4f7d1c73b6ac41a49373311e43f0e04d_1588553634","https://www.tiktok.com/@addisonre/video/6822785891421932806","https://v16.muscdn.com/1722405e4adad17a89ea5b0251180176/5eb201db/video/tos/useast2a/tos-useast2a-ve-0068c001/3be4c5fc41674d05a54fde0e2748b700/?a=1233&br=2826&bt=1413&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=M2RyOjNveDlwdDMzNzczM0ApZjg2OTk4aWVoNzg0ZjZoPGdjL141Y24vY2tfLS1hMTZzczBiLjAzMl8tXl5gYmFeXjM6Yw%3D%3D&vl=&vr=","",576,1024,11,11,3837566,15689,20792773,62379,false,"[]","[]"
"6822772798197419270","@itsjennaraine","1588550583","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6812738180329065222","Disney Channel Theme Song Mashup","itsjennaraine",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663269480341526.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a9626fa5d24fb2349ab36e9135f669f0","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/8ef9abdfe78545cbb21c387371775da9_1588550586","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/aef125e4d9814b9980aadbbbdb061590_1588550587","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/8ef9abdfe78545cbb21c387371775da9_1588550586","https://www.tiktok.com/@addisonre/video/6822772798197419270","https://v16.muscdn.com/c400da6a79d5d97eb9c3d01a6c766e22/5eb201e4/video/tos/useast2a/tos-useast2a-ve-0068c004/b6f60ac25d2140bc94b2add647d3f6d1/?a=1233&br=3592&bt=1796&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=Mzd3dnRmeTVvdDMzaDczM0ApNDw3NDUzNmVkNzNnODUzZWcxYzEza2Bra2tfLS00MTZzcy42Ly5iYTQ0LjUvMmJgNjU6Yw%3D%3D&vl=&vr=","",576,1024,20,20,2709794,6286,12379789,37184,false,"[""@itsjennaraine""]","[]"
"6822761541683744005","dc @cassidycondiee","1588547962","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6821353872867691270","original sound","cassidycondiee",true,"https://p16.muscdn.com/obj/musically-maliva-obj/5c8b8bed7f511aa40fa41bfdba6de70a.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0f45cde4aafe4ca3b16bb9d51765c7da","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a1ceddd682c64a609c96428414b8834b_1588547964","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d8b280050f5b47a9ab62b59132a311e5_1588547964","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a1ceddd682c64a609c96428414b8834b_1588547964","https://www.tiktok.com/@addisonre/video/6822761541683744005","https://v16.muscdn.com/0c55f05ac9adb09c7ac97c13ef9b9d59/5eb201ed/video/tos/useast2a/tos-useast2a-pve-0068/8f68455d48cf42b995ad3387cfc6ae83/?a=1233&br=4718&bt=2359&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=amlpd3V5eW9vdDMzaDczM0ApPDU4ZmQ2ZmRmNzRpaDlnOGdxZHFhMV8wL2tfLS0vMTZzcy82NjFiYjZfMzYvXzY0XjE6Yw%3D%3D&vl=&vr=","",576,1024,29,29,1237785,13586,7142068,20547,false,"[""@cassidycondiee""]","[]"
"6822760370285874437","@calegoes","1588547690","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6816859158248229638","ROCKSTAR DABABY FT RODDY RICH","calegoes",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1664273368180790.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/fdfa3b47971546e3bb34b58a5d6a188e","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/b345111eb20a4a829084aa4d6d69605f_1588547693","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/b545a2ed9edf4c8cb8545d8cfed64db8_1588547692","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/b345111eb20a4a829084aa4d6d69605f_1588547693","https://www.tiktok.com/@addisonre/video/6822760370285874437","https://v16.muscdn.com/e6e1abadc1e49f073548f66c3b367f66/5eb201df/video/tos/useast2a/tos-useast2a-pve-0068/b7356dc8eb174865bd6ed307cbca12cc/?a=1233&br=4476&bt=2238&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=anM4NWlzZHFvdDMzaDczM0ApZzQ1N2dkOzs7NzYzZWhlNmdfXmduYi5jLWtfLS1fMTZzcy1hLjM0NV8xYy5iXzIuLmM6Yw%3D%3D&vl=&vr=","",576,1024,15,15,2199658,25706,13204116,31927,false,"[""@calegoes""]","[]"
"6822702720139496710","@calegoes","1588534266","6703550784929793030","addisonre","addison rae",1851,38296472,"1923824810",886,4393,true,false,"follow me on instagram for a kiss 
youtube- Addison Rae","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1661468384642053~c5_720x720.jpeg","6816859158248229638","ROCKSTAR DABABY FT RODDY RICH","calegoes",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1664273368180790.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5cd3195805824cfdbcfc3fa1ae3c1767","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/09e34f67940148bebee7b132abf67d09_1588534268","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/3556d18cba6a4e709df152b9a9018573_1588534269","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/09e34f67940148bebee7b132abf67d09_1588534268","https://www.tiktok.com/@addisonre/video/6822702720139496710","https://v16.muscdn.com/cb907388208a249b4fc7ef416ee57f85/5eb201df/video/tos/useast2a/tos-useast2a-ve-0068c002/7520d1ab9a234acb9943ac8f551da271/?a=1233&br=3500&bt=1750&cr=0&cs=0&dr=0&ds=3&er=&l=2020050518161601018905015918CFC1F2&lr=tiktok_m&qs=0&rc=M247ODgzPHZrdDMzODczM0ApZmc0MzxpZzxkN2k7aThlNWdvb2Q1X25va2tfLS1jMTZzczNjLV9eLzAwYWAuYF41NDA6Yw%3D%3D&vl=&vr=","",576,1024,15,15,1493908,10541,8464840,36720,false,"[""@calegoes""]","[]"
